pos_name,salary_low_bound,salary_high_bound,salary_fee_months,main_tech,pos_keyword,pos_domain,city,location,degree,exp,person_in_charge,charge_pos,pos_responsibility,pos_requirement,pos_detail,enterprise,enterprise_scale,create_time
JAVA开发工程师（上海办公）,20.0,30.0,12,"spring,java,mysql,mybatis,hibernate,redis","spring,java,mysql,mybatis,hibernate,redis",,上海,虹口区,本科,3-5年,周先生,java开发组长,,,,安信证券,战略投资,2022-06-11 22:20:42
Java工程师 (MJ000127),25.0,50.0,15,"系统开发,后端开发,框架设计,框架开发,架构设计,需求分析,容器,SQL,非关系型数据库","系统开发,后端开发,框架设计,框架开发,架构设计,需求分析,容器,SQL,非关系型数据库",,深圳,福田区,统招本科,3-5年,郑女士,HR,,,,粤港澳大湾区数字经济研究院(福田),100-499人,2022-06-11 22:20:42
KF—java后台开发工程师,15.0,25.0,12,"大数据领域,SpringCloud,Spark","大数据领域,SpringCloud,Spark",,深圳,南山区,本科,1-3年,许先生,招聘经理,,,,腾讯,已上市,2022-06-11 22:20:42
Java开发工程师,10.0,20.0,12,"PBR开发,商业信息化,SpringBoot,Spring Boot,模块开发,Spring,框架开发,框架设计,系统开发,IOS框架","PBR开发,商业信息化,SpringBoot,Spring Boot,模块开发,Spring,框架开发,框架设计,系统开发,IOS框架",,南京,秦淮区,统招本科,3-5年,白先生,人力资源总监,,,,中国电信集团系统集成有限责任公司,10000人以上,2022-06-11 22:20:46
java开发,20.0,30.0,12,"框架开发,框架设计,SpringCloud,Spring,IOS框架,JVM,R语言,D语言,C/C++,C语言","框架开发,框架设计,SpringCloud,Spring,IOS框架,JVM,R语言,D语言,C/C++,C语言",,北京,朝阳区,本科,3-5年,许女士,人力行政经理,,,,阳光一家家庭综合保险销售服务有限公司,2000-5000人,2022-06-11 22:20:46
java开发工程师,10.0,25.0,12,"分布式,spring,java,mysql,mybatis,redis,sql,dubbo,eclipse,git","分布式,spring,java,mysql,mybatis,redis,sql,dubbo,eclipse,git",,杭州,余杭区,本科,经验不限,胡女士,人事,,,,杭州蓝芯科技有限公司,B轮,2022-06-11 22:20:46
区块链java开发工程师,15.0,30.0,12,"互联网金融公司背景,JDK和JVM,SpringBoot,Mybatis,Maven项目配置,消息队列,架构师,数据结构","互联网金融公司背景,JDK和JVM,SpringBoot,Mybatis,Maven项目配置,消息队列,架构师,数据结构",,北京,朝阳区,本科,3-5年,汪女士,人力资源经理/主管,,,,北京旺米友乾科技有限公司,B轮,2022-06-11 22:20:46
Java开发工程师（大数据方向）,15.0,30.0,14,"框架设计,框架开发,架构设计","框架设计,框架开发,架构设计",,武汉,汉阳区,统招本科,1-3年,杨先生,,,,,汇智通信,1000-2000人,2022-06-11 22:20:46
Java开发工程师（保险系统）,20.0,40.0,13,"架构设计,Java,关系型数据库","架构设计,Java,关系型数据库",,北京,朝阳区,统招本科,经验不限,刘先生,人力资源经理,,,,和谐健康保险股份有限公司,融资未公开,2022-06-11 22:20:46
中级java开发工程师（武汉）,20.0,40.0,12,"系统开发,Spring,框架设计,框架开发,银行领域,网络开发","系统开发,Spring,框架设计,框架开发,银行领域,网络开发",,武汉,江岸区,硕士,3-5年,李先生,人事总监,,,,民生科技有限责任公司,5000-10000人,2022-06-11 22:20:46
初级Java开发工程师,6.0,9.0,13,"java,数据库,sql","java,数据库,sql",,广州,,本科,1-3年,李女士,HR,,,,新文溯科技,50-99人,2022-06-11 22:20:46
Java开发工程师,20.0,50.0,12,"Java,Spring","Java,Spring",,成都,武侯区,本科,经验不限,周先生,总监,,,,民生科技有限责任公司,5000-10000人,2022-06-11 22:20:46
软件项目经理/Java工程师 -- Toyata智能网联平台,15.0,31.0,12,"Java,智能网联,容器,IoT,智能驾驶,中间件","Java,智能网联,容器,IoT,智能驾驶,中间件",,沈阳,浑南区,本科,经验不限,张先生,人力资源高级经理,,,,东软集团有限公司,10000人以上,2022-06-11 22:20:46
Java服务端开发工程师（证券交易）,20.0,35.0,16,"jQuery,工业互联网,SQL,Javascript,CSS,HTML","jQuery,工业互联网,SQL,Javascript,CSS,HTML",,上海,,本科,3-5年,王女士,人力资源经理,,,,东方财富,沪深A股上市,2022-06-11 22:20:46
java,12.0,18.0,12,"框架开发,框架设计,需求分析,容器,MySQL,Redis,Oracle,关系型数据库,Docker,Kubernetes","框架开发,框架设计,需求分析,容器,MySQL,Redis,Oracle,关系型数据库,Docker,Kubernetes",,杭州,滨江区,本科,3-5年,顾先生,招聘主管,,,,善能生态集团有限公司,500-999人,2022-06-11 22:20:46
Java开发专家,40.0,60.0,16,"架构设计,架构开发,Spring,Mybatis,Java,团队管理","架构设计,架构开发,Spring,Mybatis,Java,团队管理",,北京,朝阳区,统招本科,5-10年,朱女士,Recruiter,,,,贝天姆科技(北京)有限公司,100-499人,2022-06-11 22:20:46
java开发,20.0,40.0,12,"框架开发,框架设计,前端开发,架构设计,Java,UML,Oracle,SQL","框架开发,框架设计,前端开发,架构设计,Java,UML,Oracle,SQL",,上海,嘉定区,学历不限,5-10年,马女士,猎头顾问,,,,某国内汽车公司,C轮,2022-06-11 22:20:46
java研发工程师,13.0,30.0,14,"框架设计,框架开发,架构设计","框架设计,框架开发,架构设计",,西安,高新区,本科,3-5年,何女士,,,,,浪潮,10000人以上,2022-06-11 22:20:46
Java开发工程师 (MJ000113),13.0,25.0,18,Java,Java,,武汉,东西湖区,本科,经验不限,舒女士,HR,,,,武汉楚兴技术有限公司,1000-2000人,2022-06-11 22:20:46
